invoice_no,invoice_date,counterparty,amount,order_id,status
INV-2026-00064,2026-03-06,Reddy Packaging AND CO,"4,560.86",order_601010000129,paid
INV-2026-00065,2026-03-06,Pillai Pharma LLP,"1,458.13",order_601010000132,paid
INV-2026-00066,2026-03-06,Patel Distributors Private Limited,102.58,order_601010000134,paid
INV-2026-00067,2026-03-06,Sharma Chemicals AND CO,615.87,order_601010000136,paid
INV-2026-00068,2026-03-06,Chatterjee Chemicals,"5,308.69",order_601010000138,paid
INV-2026-00069,2026-03-06,Shetty Distributors & Sons,714.62,order_601010000140,paid
INV-2026-00070,2026-03-06,Sharma Packaging AND CO,"1,082.67",order_601010000142,paid
INV-2026-00071,2026-03-07,Verma Hardware & Co,"5,850.08",order_601010000144,paid
INV-2026-00072,2026-03-07,Kulkarni Pharma Pvt. Ltd,295.78,order_601010000146,paid
INV-2026-00073,2026-03-07,Kulkarni Textiles PVT. LTD.,931.54,order_601010000148,paid
INV-2026-00074,2026-03-07,Krishnan Agencies AND CO,"1,571.11",order_601010000150,paid
INV-2026-00075,2026-03-07,Shetty Textiles P Ltd,350.06,order_601010000153,paid
INV-2026-00076,2026-03-07,Reddy Textiles PVT. LTD.,"3,198.11",order_601010000155,paid
INV-2026-00077,2026-03-07,Chowdhury Industries PVT. LTD.,878.23,order_601010000157,paid
INV-2026-00078,2026-03-07,Bose Motors P Ltd,"1,034.68",order_601010000159,paid
INV-2026-00079,2026-03-07,Patel Packaging P Ltd,"2,071.69",order_601010000161,paid
INV-2026-00080,2026-03-07,Raghavan Pharma AND CO,910.22,order_601010000163,paid
INV-2026-00081,2026-03-07,Pillai Traders,"3,123.09",order_601010000165,paid
INV-2026-00082,2026-03-07,Naidu Foods AND SONS,688.25,order_601010000167,paid
INV-2026-00083,2026-03-07,Krishnan Traders LLP,693.41,order_601010000169,paid
INV-2026-00084,2026-03-07,Patel Textiles AND CO,"5,038.31",order_601010000171,paid
INV-2026-00085,2026-03-09,Raghavan Foods,947.31,order_601010000173,paid
INV-2026-00086,2026-03-09,Reddy Steels,"5,088.43",order_601010000175,paid
INV-2026-00087,2026-03-09,Deshmukh Foods LLP,"3,891.16",order_601010000177,paid
INV-2026-00088,2026-03-09,Mehta Chemicals,"1,364.31",order_601010000179,paid
INV-2026-00089,2026-03-09,Bhatia Foods Pvt Ltd,513.57,order_601010000181,paid
INV-2026-00090,2026-03-09,Kulkarni Enterprises Private Limited,"1,733.52",order_601010000183,paid
INV-2026-00091,2026-03-09,Bose Pharma & Co,"2,506.06",order_601010000185,paid
INV-2026-00092,2026-03-09,Joshi Electronics P Ltd,"3,716.22",order_601010000187,paid
INV-2026-00093,2026-03-09,Patel Motors LLP,"1,336.96",order_601010000190,paid
INV-2026-00094,2026-03-09,Patel Hardware Pvt Ltd,"2,512.40",order_601010000192,paid
INV-2026-00095,2026-03-09,Pillai Exports PVT. LTD.,"1,309.03",order_601010000194,paid
INV-2026-00096,2026-03-09,Pillai Textiles,248.91,order_601010000196,paid
INV-2026-00097,2026-03-09,Rao Exports AND CO,783.35,order_601010000198,paid
INV-2026-00098,2026-03-09,Menon Enterprises LLP,125.58,order_601010000200,paid
INV-2026-00099,2026-03-10,Iyer Industries AND CO,"1,424.09",order_601010000202,paid
INV-2026-00100,2026-03-10,Reddy Chemicals LLP,207.88,order_601010000204,paid
INV-2026-00101,2026-03-10,Banerjee Foods & Sons,"3,182.59",order_601010000206,paid
INV-2026-00102,2026-03-10,Ghosh Hardware AND CO,"1,105.55",order_601010000208,paid
INV-2026-00103,2026-03-10,Sinha Exports AND CO,345.67,order_601010000210,paid
INV-2026-00104,2026-03-10,Sharma Steels Pvt. Ltd,764.36,order_601010000212,paid
INV-2026-00105,2026-03-10,Banerjee Traders Private Limited,583.97,order_601010000214,paid
INV-2026-00106,2026-03-10,Chowdhury Traders AND CO,"2,308.52",order_601010000216,paid
INV-2026-00107,2026-03-10,Shetty Pharma AND CO,"3,125.46",order_601010000218,paid
INV-2026-00108,2026-03-10,Shetty Electronics,"1,072.59",order_601010000220,paid
INV-2026-00109,2026-03-10,Malhotra Motors,819.44,order_601010000222,paid
INV-2026-00110,2026-03-10,Sethi Enterprises LLP,"1,255.50",order_601010000224,paid
INV-2026-00111,2026-03-10,Ghosh Foods LLP,"2,975.22",order_601010000226,paid
INV-2026-00112,2026-03-10,Menon Hardware AND CO,"4,565.76",order_601010000228,paid
INV-2026-00113,2026-03-11,Verma Motors Pvt Ltd,415.33,order_601010000230,paid
INV-2026-00114,2026-03-11,Kaur Industries,175.44,order_601010000232,paid
INV-2026-00115,2026-03-11,Menon Chemicals AND CO,"9,102.26",order_601010000234,paid
INV-2026-00116,2026-03-11,Sethi Motors AND CO,"10,750.74",order_601010000236,paid
INV-2026-00117,2026-03-11,Patel Pharma & Co,"2,481.79",order_601010000238,paid
INV-2026-00118,2026-03-11,Reddy Chemicals Pvt Ltd,"2,351.93",order_601010000240,paid
INV-2026-00119,2026-03-11,Deshmukh Chemicals AND SONS,"6,492.04",order_601010000242,paid
INV-2026-00120,2026-03-11,Chowdhury Motors,722.15,order_601010000244,paid
INV-2026-00121,2026-03-11,Sharma Pharma Private Limited,"1,902.56",order_601010000246,paid
INV-2026-00122,2026-03-11,Krishnan Industries PVT. LTD.,203.88,order_601010000248,paid
INV-2026-00123,2026-03-11,Sharma Packaging Private Limited,421.57,order_601010000250,paid
INV-2026-00124,2026-03-11,Sethi Electronics P Ltd,"2,953.06",order_601010000252,paid
INV-2026-00125,2026-03-11,Verma Steels Pvt Ltd,623.71,order_601010000254,paid
INV-2026-00126,2026-03-11,Menon Logistics AND CO,"1,674.55",order_601010000257,paid
INV-2026-00127,2026-03-12,Shetty Industries AND SONS,651.87,order_601010000259,paid
INV-2026-00128,2026-03-12,Sharma Chemicals & Sons,256.85,order_601010000261,paid
INV-2026-00129,2026-03-12,Pillai Enterprises P Ltd,570.69,order_601010000263,paid
INV-2026-00130,2026-03-12,Trivedi Exports & Sons,638.64,order_601010000265,paid
INV-2026-00131,2026-03-12,Pillai Traders,"1,483.45",order_601010000267,paid
INV-2026-00132,2026-03-12,Chowdhury Steels AND SONS,157.63,order_601010000269,paid
INV-2026-00133,2026-03-12,Sharma Industries Private Limited,"1,179.50",order_601010000271,paid
INV-2026-00134,2026-03-12,Verma Exports Pvt Ltd,193.38,order_601010000273,paid
INV-2026-00135,2026-03-12,Shetty Logistics,249.95,order_601010000275,paid
INV-2026-00136,2026-03-12,Naidu Hardware,719.84,order_601010000277,paid
INV-2026-00137,2026-03-12,Kulkarni Industries Private Limited,"1,135.89",order_601010000279,paid
INV-2026-00138,2026-03-12,Sethi Foods LLP,"2,361.41",order_601010000281,paid
INV-2026-00139,2026-03-12,Mehta Traders P Ltd,460.90,order_601010000283,paid
INV-2026-00140,2026-03-12,Sinha Chemicals & Sons,"3,521.89",order_601010000285,paid
INV-2026-00141,2026-03-13,Nair Packaging & Co,"2,944.13",order_601010000287,paid
INV-2026-00142,2026-03-13,Naidu Chemicals AND CO,595.95,order_601010000289,paid
INV-2026-00143,2026-03-13,Iyer Industries LLP,797.08,order_601010000291,paid
INV-2026-00144,2026-03-13,Bose Agencies AND SONS,"2,539.36",order_601010000293,paid
INV-2026-00145,2026-03-13,Chowdhury Enterprises Pvt Ltd,924.59,order_601010000295,paid
INV-2026-00146,2026-03-13,Mehta Distributors Pvt. Ltd,392.85,order_601010000297,paid
INV-2026-00147,2026-03-13,Sinha Chemicals Private Limited,143.34,order_601010000299,paid
INV-2026-00148,2026-03-13,Sharma Foods & Co,"1,342.34",order_601010000301,paid
INV-2026-00149,2026-03-13,Shetty Distributors & Co,"1,579.44",order_601010000303,paid
INV-2026-00150,2026-03-13,Nair Textiles LLP,"8,304.25",order_601010000305,paid
INV-2026-00151,2026-03-13,Krishnan Agencies PVT. LTD.,540.85,order_601010000307,paid
INV-2026-00152,2026-03-13,Trivedi Motors Pvt. Ltd,"3,476.96",order_601010000309,paid
INV-2026-00153,2026-03-13,Naidu Foods P Ltd,"1,772.13",order_601010000311,paid
INV-2026-00154,2026-03-13,Shetty Traders AND SONS,283.37,order_601010000313,paid
INV-2026-00155,2026-03-16,Malhotra Textiles & Co,"11,313.22",order_601010000315,paid
INV-2026-00156,2026-03-16,Iyer Foods P Ltd,279.52,order_601010000317,paid
INV-2026-00157,2026-03-16,Mehta Hardware P Ltd,"4,921.80",order_601010000319,paid
INV-2026-00158,2026-03-16,Khan Agencies Pvt. Ltd,"1,028.49",order_601010000321,paid
INV-2026-00159,2026-03-16,Iyer Exports AND SONS,"2,683.11",order_601010000323,paid
INV-2026-00160,2026-03-16,Malhotra Motors Pvt. Ltd,"1,932.10",order_601010000325,paid
INV-2026-00161,2026-03-16,Rao Electronics & Co,881.37,order_601010000327,paid
INV-2026-00162,2026-03-16,Sharma Hardware AND SONS,698.16,order_601010000329,paid
INV-2026-00163,2026-03-16,Chatterjee Traders PVT. LTD.,"1,581.72",order_601010000331,paid
INV-2026-00164,2026-03-16,Malhotra Enterprises AND SONS,482.42,order_601010000334,paid
INV-2026-00165,2026-03-16,Verma Electronics PVT. LTD.,217.75,order_601010000337,paid
INV-2026-00166,2026-03-16,Kaur Electronics AND SONS,545.56,order_601010000339,paid
INV-2026-00167,2026-03-16,Ghosh Textiles Pvt. Ltd,968.06,order_601010000341,paid
INV-2026-00168,2026-03-16,Krishnan Chemicals Pvt. Ltd,"2,037.03",order_601010000343,paid
INV-2026-00169,2026-03-17,Chowdhury Traders,"4,915.96",order_601010000345,paid
INV-2026-00170,2026-03-17,Malhotra Textiles & Co,522.15,order_601010000347,paid
INV-2026-00171,2026-03-17,Nair Chemicals PVT. LTD.,"6,835.07",order_601010000349,paid
INV-2026-00172,2026-03-17,Pillai Exports,"4,288.23",order_601010000351,paid
INV-2026-00173,2026-03-17,Verma Pharma Private Limited,807.06,order_601010000353,paid
INV-2026-00174,2026-03-17,Kulkarni Distributors P Ltd,"6,525.25",order_601010000355,paid
INV-2026-00175,2026-03-17,Patel Exports & Sons,69.60,order_601010000357,paid
INV-2026-00176,2026-03-17,Iyer Textiles Pvt. Ltd,"1,285.63",order_601010000359,paid
INV-2026-00177,2026-03-17,Bhatia Industries Pvt. Ltd,"2,542.29",order_601010000361,paid
INV-2026-00178,2026-03-17,Malhotra Logistics AND CO,"8,785.78",order_601010000363,paid
INV-2026-00179,2026-03-17,Shetty Textiles Private Limited,"2,558.02",order_601010000365,paid
INV-2026-00180,2026-03-17,Bhatia Packaging PVT. LTD.,"1,395.03",order_601010000367,paid
INV-2026-00181,2026-03-17,Deshmukh Hardware PVT. LTD.,"2,395.31",order_601010000369,paid
INV-2026-00182,2026-03-17,Joshi Logistics P Ltd,"1,448.81",order_601010000371,paid
INV-2026-00183,2026-03-18,Verma Electronics & Sons,"2,426.10",order_601010000374,paid
INV-2026-00184,2026-03-18,Iyer Agencies Private Limited,"2,514.75",order_601010000376,paid
INV-2026-00185,2026-03-18,Reddy Exports LLP,"1,169.22",order_601010000378,paid
INV-2026-00186,2026-03-18,Kaur Exports Private Limited,465.23,order_601010000380,paid
INV-2026-00187,2026-03-18,Trivedi Steels,"1,456.84",order_601010000382,paid
INV-2026-00188,2026-03-18,Trivedi Steels,"2,171.38",order_601010000385,paid
INV-2026-00189,2026-03-18,Reddy Agencies,485.83,order_601010000387,paid
INV-2026-00190,2026-03-18,Verma Motors P Ltd,"2,490.55",order_601010000389,paid
INV-2026-00191,2026-03-18,Krishnan Agencies AND SONS,"4,523.34",order_601010000391,paid
INV-2026-00192,2026-03-18,Chowdhury Logistics & Co,"1,938.69",order_601010000393,paid
INV-2026-00193,2026-03-18,Reddy Chemicals,"6,856.74",order_601010000395,paid
INV-2026-00194,2026-03-18,Khan Steels,981.61,order_601010000397,paid
INV-2026-00195,2026-03-18,Nair Distributors P Ltd,"1,421.78",order_601010000399,paid
INV-2026-00196,2026-03-18,Chatterjee Textiles P Ltd,"1,058.26",order_601010000401,paid
INV-2026-00197,2026-03-19,Trivedi Steels PVT. LTD.,498.99,order_601010000403,paid
INV-2026-00198,2026-03-19,Trivedi Enterprises,"8,537.12",order_601010000405,paid
INV-2026-00199,2026-03-19,Bose Motors PVT. LTD.,753.24,order_601010000407,paid
INV-2026-00200,2026-03-19,Gupta Steels AND SONS,455.82,order_601010000409,paid
INV-2026-00201,2026-03-19,Raghavan Packaging LLP,"2,086.72",order_601010000411,paid
INV-2026-00202,2026-03-19,Malhotra Steels LLP,"2,572.73",order_601010000413,paid
INV-2026-00203,2026-03-19,Menon Textiles Pvt. Ltd,326.06,order_601010000415,paid
INV-2026-00204,2026-03-19,Malhotra Textiles PVT. LTD.,"1,170.70",order_601010000417,paid
INV-2026-00205,2026-03-19,Khan Foods AND SONS,"1,862.99",order_601010000419,paid
INV-2026-00206,2026-03-19,Patel Electronics & Co,"7,442.11",order_601010000421,paid
INV-2026-00207,2026-03-19,Bose Chemicals LLP,422.57,order_601010000423,paid
INV-2026-00208,2026-03-19,Joshi Hardware & Sons,"2,295.31",order_601010000425,paid
INV-2026-00209,2026-03-19,Raghavan Packaging PVT. LTD.,"12,550.62",order_601010000427,paid
INV-2026-00210,2026-03-19,Chatterjee Motors AND SONS,315.50,order_601010000429,paid
INV-2026-00211,2026-03-20,Rao Foods Pvt Ltd,700.10,order_601010000431,paid
INV-2026-00212,2026-03-20,Sethi Agencies LLP,49.00,order_601010000433,paid
INV-2026-00213,2026-03-20,Naidu Packaging & Co,"1,125.89",order_601010000435,paid
INV-2026-00214,2026-03-20,Trivedi Electronics Pvt Ltd,"1,420.54",order_601010000437,paid
INV-2026-00215,2026-03-20,Shetty Textiles P Ltd,"1,035.63",order_601010000439,paid
INV-2026-00216,2026-03-20,Verma Industries Private Limited,"2,163.59",order_601010000441,paid
INV-2026-00217,2026-03-20,Kaur Electronics Private Limited,"1,414.77",order_601010000443,paid
INV-2026-00218,2026-03-20,Khan Electronics Pvt. Ltd,"1,139.27",order_601010000445,paid
INV-2026-00219,2026-03-20,Mehta Pharma,228.51,order_601010000447,paid
INV-2026-00220,2026-03-20,Bose Distributors P Ltd,"4,569.19",order_601010000449,paid
INV-2026-00221,2026-03-20,Gupta Logistics LLP,685.73,order_601010000451,paid
INV-2026-00222,2026-03-20,Raghavan Steels & Sons,"1,723.93",order_601010000453,paid
INV-2026-00223,2026-03-20,Kaur Foods Pvt Ltd,466.96,order_601010000455,paid
INV-2026-00224,2026-03-20,Trivedi Logistics,"7,036.41",order_601010000457,paid
INV-2026-00225,2026-03-21,Krishnan Agencies PVT. LTD.,"3,273.60",order_601010000459,paid
INV-2026-00226,2026-03-21,Sharma Motors & Sons,"1,766.33",order_601010000462,paid
INV-2026-00227,2026-03-21,Sharma Chemicals & Co,781.94,order_601010000464,paid
INV-2026-00228,2026-03-21,Deshmukh Enterprises,256.96,order_601010000466,paid
INV-2026-00229,2026-03-21,Banerjee Industries AND CO,"1,394.03",order_601010000468,paid
INV-2026-00230,2026-03-21,Khan Steels P Ltd,675.03,order_601010000470,paid
INV-2026-00231,2026-03-21,Trivedi Logistics AND SONS,713.12,order_601010000472,paid
INV-2026-00232,2026-03-21,Nair Textiles P Ltd,"1,115.42",order_601010000474,paid
INV-2026-00233,2026-03-21,Sethi Industries P Ltd,738.26,order_601010000476,paid
INV-2026-00234,2026-03-21,Mehta Pharma & Sons,248.63,order_601010000478,paid
INV-2026-00235,2026-03-21,Joshi Electronics AND SONS,"2,608.94",order_601010000480,paid
INV-2026-00236,2026-03-21,Raghavan Chemicals Pvt. Ltd,"3,055.15",order_601010000482,paid
INV-2026-00237,2026-03-21,Patel Packaging & Sons,"2,713.77",order_601010000484,paid
INV-2026-00238,2026-03-21,Krishnan Logistics Pvt Ltd,936.12,order_601010000487,paid
