row_id,value_date,narration,reference,debit,credit,balance
TR118444BCD5,2026-03-11,UPI/CR/199389370457/Kulkarni Industries Private Limited/YESB/@ybl,199389370457,,"1,266.54",
TR9ACEA7BF50,2026-03-11,UPI/CR/512654598319/Chatterjee Exports Pvt. Ltd/UTIB/@okaxis,512654598319,,"9,313.35",
TR9335B2F7C6,2026-03-11,NEFT-SBIN266771489823-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005825,266771489823,,"16,052.18","4,78,488.27"
TR45FEF38C85,2026-03-11,NEFT-UTIB804686243633-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005825,804686243633,,"26,819.56","5,05,307.83"
TR234ABB6617,2026-03-12,NEFT-HDFC705186432161-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005826,705186432161,,"17,021.74","5,22,329.57"
TR8E06123DF0,2026-03-12,MISC CREDIT 5279470 REF NA,,,"2,151.84",
TR76961B88CD,2026-03-16,NEFT-YESB928302984164-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005827,928302984164,,"39,891.87","5,62,221.44"
TR3788C7B844,2026-03-16,NEFT-YESB918637909267-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005828,918637909267,,"45,311.11","6,07,532.55"
TRD4277D92F8,2026-03-17,NEFT-SBIN313821813035-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005829,313821813035,,"42,536.71","6,50,069.26"
TR05B10AA5C7,2026-03-18,NEFT-IDFB357042614709-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005830,357042614709,,"37,801.68","6,87,870.94"
TR71925B2609,2026-03-20,NEFT-ICIC265941239405-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-03-13 ##TRUNCATED,265941239405,,,
TREDB0CE90E4,2026-03-20,NEFT-ICIC265941239405-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-03-13,265941239405,,"2,124.89",
TRE6F113222F,2026-03-20,NEFT-UTIB505886708815-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005832,505886708815,,"42,802.98","7,30,673.92"
TRF3B22F85AF,2026-03-21,NEFT-SBIN596885637455-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005833,596885637455,,"30,463.72","7,61,137.64"
TRB62FD464DA,2026-03-23,NEFT-SBIN130366274024-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005834,130366274024,,"37,526.66","7,98,664.30"
TRCFB66FCE45,2026-03-24,NEFT-HDFC699210363154-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005835,699210363154,,"32,998.92","8,31,663.22"
TRFE97435CA5,2026-03-25,NEFT-KKBK264762222491-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005836,264762222491,,"48,593.70","8,80,256.92"
TR462E63CD31,2026-03-26,NEFT-ICIC568806712879-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005837,568806712879,,"46,004.83","9,26,261.75"
TRC2655D388E,2026-03-27,NEFT-ICIC138156964417-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005838,138156964417,,"19,438.78","9,45,700.53"
TRB921DA8ADA,2026-03-30,NEFT-SBIN286744385667-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005839,286744385667,,"28,524.79","9,74,225.32"
TRFAF8FFF96D,2026-03-31,NEFT-KKBK919375666442-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005840,919375666442,,"50,406.76","10,24,632.08"
TR599B7612E1,2026-04-02,NEFT-SBIN292777890577-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005841,292777890577,,"22,465.88","10,47,097.96"
TRC75E35D97E,2026-04-03,NEFT-HDFC114031384003-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005842,114031384003,,"36,930.67","10,84,028.63"
TR8E11453480,2026-04-04,NEFT-UTIB141992658913-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005843,141992658913,,"26,341.32","11,10,369.95"
TRA6A952674D,2026-04-06,NEFT-SBIN330490227264-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005844,330490227264,,"36,883.51","11,47,253.46"
TRDFC835EF08,2026-04-07,NEFT-IDFB282752697110-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-03-31,282752697110,,"2,698.98",
TR9DD5C62DF6,2026-04-07,NEFT-HDFC825670736163-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005845,825670736163,,"28,202.82","11,75,456.28"
TR0F9397A703,2026-04-08,NEFT-SBIN590918072816-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005846,590918072816,,"20,049.34","11,95,505.62"
TR95BFDA14F2,2026-04-08,NEFT-UTIB678114719672-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005846,678114719672,,"16,039.15","12,11,544.77"
TRCC09390C71,2026-04-09,NEFT-IDFB633855732078-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005847,633855732078,,"28,687.60","12,40,232.37"
TRCDC284DEEF,2026-04-10,NEFT-ICIC752993629100-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005848,752993629100,,"48,204.89","12,88,437.26"
TR8CB3F1A835,2026-04-14,NEFT-YESB867256345501-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005849,867256345501,,"69,055.99","13,57,493.25"
TR50F5D02444,2026-04-14,NEFT-ICIC606218360575-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005850,606218360575,,"61,930.78","14,19,424.03"
TRD5ABB4D89B,2026-04-15,NEFT-IDFB918317706277-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005851,918317706277,,"33,847.87","14,53,271.90"
TRDF608BE905,2026-04-16,NEFT-SBIN676976148410-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005852,676976148410,,"28,946.70","14,82,218.60"
TRC3F54A8597,2026-04-17,NEFT-HDFC158775477844-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005853,158775477844,,"29,535.60","15,11,754.20"
TR13F72D940F,2026-04-18,NEFT-IDFB656410414013-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005854,656410414013,,"54,753.52","15,66,507.72"
TR0C7079E0B2,2026-04-20,NEFT-YESB117315659086-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005855,117315659086,,"57,706.95","16,24,214.67"
TRE00FF2ECA4,2026-04-21,NEFT-IDFB386007001680-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005856,386007001680,,"24,373.23","16,48,587.90"
TRBC37EE5362,2026-04-22,NEFT-SBIN653802187580-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-04-16,653802187580,,"1,528.96",
TR7679F45A1D,2026-04-22,NEFT-UTIB340698113873-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005857,340698113873,,"55,635.43","17,04,223.33"
TRA09BED2297,2026-04-24,NEFT-KKBK522348030347-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005858,522348030347,,"18,302.94","17,22,526.27"
TR88C284D6FB,2026-04-24,NEFT-HDFC487101997184-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005859,487101997184,,"38,414.19","17,60,940.46"
TRF42BDEB362,2026-04-27,NEFT-UTIB975868991210-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005860,975868991210,,"37,860.90","17,98,801.36"
TRBBDB865927,2026-04-28,NEFT-YESB295692979355-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005861,295692979355,,"26,252.56","18,25,053.92"
TRC8632820E3,2026-04-30,NEFT-KKBK472867820444-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005863,472867820444,,"23,744.44","18,48,798.36"
TR4FF1056C8F,2026-04-30,NEFT-HDFC371113340386-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005863,371113340386,,"24,205.86","18,73,004.22"
TRCF459CF669,2026-05-01,NEFT-YESB412163402587-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005864,412163402587,,"29,741.30","19,02,745.52"
TRDF8CBB144D,2026-05-02,NEFT-YESB309938243607-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005865,309938243607,,"56,838.12","19,59,583.64"
TR043ACABB8E,2026-05-04,NEFT-HDFC379927636359-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005866,379927636359,,"47,023.84","20,06,607.48"
TRDC50E64260,2026-05-06,NEFT-HDFC774908455199-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005867,774908455199,,"21,245.19","20,27,852.67"
TR01A4B0BF41,2026-05-06,NEFT-UTIB361380476525-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005868,361380476525,,"26,570.03","20,54,422.70"
TR09D8524370,2026-05-07,NEFT-HDFC845844897153-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-05-01,845844897153,,"1,599.69",
TR5CE7AE59EF,2026-05-07,NEFT-YESB338750725935-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005869,338750725935,,"49,469.37","21,03,892.07"
TR2F2569B08E,2026-05-08,NEFT-IDFB737319717374-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005870,737319717374,,"34,135.80","21,38,027.87"
TR73A20BB240,2026-05-11,NEFT-ICIC291768931445-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005871,291768931445,,"25,301.57","21,63,329.44"
TRB20A4B7E14,2026-05-12,NEFT-KKBK459413727962-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005872,459413727962,,"29,016.86","21,92,346.30"
TRB5179B1D5A,2026-05-13,NEFT-HDFC784538557655-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005873,784538557655,,"60,003.08","22,52,349.38"
TR46E71EDFA9,2026-05-14,NEFT-UTIB504394225290-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005874,504394225290,,"36,963.05","22,89,312.43"
TRC1D3137416,2026-05-15,NEFT-YESB638266514990-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005875,638266514990,,"21,311.93","23,10,624.36"
TR49E2912581,2026-05-18,NEFT-ICIC457435569365-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005876,457435569365,,"68,017.35","23,78,641.71"
TRCFDC86864D,2026-05-18,NEFT-SBIN177916649298-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005877,177916649298,,"22,817.14","24,01,458.85"
TR40AE5090D4,2026-05-19,NEFT-YESB625351751639-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005878,625351751639,,"62,271.58","24,63,730.43"
TRC91890402C,2026-05-20,NEFT-SBIN793586733746-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005879,793586733746,,"22,220.85","24,85,951.28"
TR98AFC6C2EF,2026-05-21,NEFT-YESB310792315551-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005880,310792315551,,"28,556.83","25,14,508.11"
TR1B75392F38,2026-05-21,NEFT-KKBK514981659712-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005880,514981659712,,"16,050.57","25,30,558.68"
TRAB5FFFA461,2026-05-22,NEFT-SBIN435178296224-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-05-16,435178296224,,"3,624.35",
TR7BE9FF63D6,2026-05-22,NEFT-IDFB359610341237-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005881,359610341237,,"51,341.52","25,81,900.20"
TR94B294ECBA,2026-05-25,NEFT-HDFC118412744146-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005882,118412744146,,"53,989.96","26,35,890.16"
TR6475D53DF1,2026-05-26,NEFT-IDFB803375983820-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005883,803375983820,,"40,173.18","26,76,063.34"
TRD7912CB135,2026-05-27,NEFT-SBIN934798963752-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005884,934798963752,,"13,432.97","26,89,496.31"
TRCFD3F8C0ED,2026-05-29,NEFT-YESB259459954695-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005885,259459954695,,"33,538.27","27,23,034.58"
TR2DBD50D2A9,2026-05-29,NEFT-SBIN555475823777-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005886,555475823777,,"50,442.49","27,73,477.07"
TRC8CC97C73C,2026-05-30,NEFT-UTIB736237816207-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005887,736237816207,,"36,076.72","28,09,553.79"
TR4FD953DDD9,2026-06-01,NEFT-ICIC227780281289-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005888,227780281289,,"42,830.95","28,52,384.74"
TR4627F03348,2026-06-02,NEFT-UTIB148278613626-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005889,148278613626,,"41,315.74","28,93,700.48"
TR712E882358,2026-06-03,NEFT-YESB685694333713-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005890,685694333713,,"33,827.67","29,27,528.15"
TR42F1CD7F87,2026-06-04,NEFT-ICIC389138867906-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005891,389138867906,,"52,199.53","29,79,727.68"
TREBE97C2109,2026-06-05,NEFT-ICIC136049878968-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005892 ##TRUNCATED,136049878968,,NULL,"30,01,039.77"
TR856D08A640,2026-06-05,NEFT-ICIC136049878968-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005892,136049878968,,"21,312.09","30,01,039.77"
TR135686D491,2026-06-06,NEFT-HDFC929183897052-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-06-01,929183897052,,"2,294.48",
TR2E7D6B0D1E,2026-06-09,NEFT-ICIC663955338109-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005894,663955338109,,"50,388.40","30,51,428.17"
TRAEBFFA9DB1,2026-06-09,NEFT-KKBK270381420043-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005895,270381420043,,"25,762.01","30,77,190.18"
TR1751B33C74,2026-06-10,NEFT-YESB520188697141-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005896,520188697141,,"34,318.27","31,11,508.45"
TRFEFB1E3158,2026-06-11,NEFT-UTIB110412592124-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005897,110412592124,,"15,219.55","31,26,728.00"
TRA41C43B3CB,2026-06-11,NEFT-ICIC832157539134-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005897,832157539134,,"16,155.91","31,42,883.91"
TR3ED9384459,2026-06-12,NEFT-SBIN896429543195-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005898,896429543195,,"21,820.32","31,64,704.23"
TRE00EA5BD21,2026-06-15,NEFT-KKBK422442948496-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005899,422442948496,,"44,541.50","32,09,245.73"
TR4BC6F9DF0F,2026-06-16,NEFT-ICIC837513066741-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005900,837513066741,,"25,855.49","32,35,101.22"
TR0C898FCEE3,2026-06-17,NEFT-HDFC121459691601-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005901,121459691601,,"31,036.55","32,66,137.77"
TR83040B25A0,2026-06-18,NEFT-YESB349752774431-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005902,349752774431,,"35,748.38","33,01,886.15"
TR7FFDF0C2AC,2026-06-20,NEFT-YESB137088250168-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005903,137088250168,,"36,238.93","33,38,125.08"
TR01B8D25BA9,2026-06-20,NEFT-UTIB865074204277-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005904,865074204277,,"46,834.96","33,84,960.04"
TR0AA2C93677,2026-06-22,NEFT-SBIN810404659105-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-06-16,810404659105,,"1,626.19",
TR0BB293D5DA,2026-06-22,NEFT-YESB567329830276-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005905,567329830276,,"28,615.31","34,13,575.35"
TRAF5654E2BC,2026-06-23,NEFT-HDFC302542233387-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005906,302542233387,,"48,003.94","34,61,579.29"
TR911C7B88B9,2026-06-24,NEFT-YESB920744405611-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005907,920744405611,,"28,933.86","34,90,513.15"
TR6C81831B63,2026-06-25,NEFT-KKBK648339908670-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005908,648339908670,,"48,784.83","35,39,297.98"
TR9DF50D5899,2026-06-26,NEFT-ICIC400248042306-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005909,400248042306,,"45,322.68","35,84,620.66"
TRCE9CA3A3BE,2026-06-29,NEFT-YESB885596346334-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005910,885596346334,,"31,258.47","36,15,879.13"
TRF1AFEBCE41,2026-06-30,NEFT-SBIN324103681780-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005911,324103681780,,"26,734.97","36,42,614.10"
TR9717355B6C,2026-07-02,NEFT-YESB957459135858-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005912,957459135858,,"21,354.34","36,63,968.44"
TR91BA7F2E44,2026-07-02,NEFT-SBIN765866382597-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005913,765866382597,,"49,667.64","37,13,636.08"
TR02C5F73323,2026-07-03,NEFT-HDFC136151932754-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005914,136151932754,,"15,861.22","37,29,497.30"
TRF2A6912BFD,2026-07-03,NEFT-HDFC377068074459-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005914,377068074459,,"24,923.93","37,54,421.23"
TRE836CF13E0,2026-07-04,NEFT-IDFB123617260464-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005915,123617260464,,"51,036.22","38,05,457.45"
TRC84FE7A6BF,2026-07-06,NEFT-UTIB591756175677-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005916 ##TRUNCATED,591756175677,,"1,2,3.4.5","38,48,782.26"
TR9DF349FFB4,2026-07-06,NEFT-UTIB591756175677-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005916,591756175677,,"43,324.81","38,48,782.26"
TR7CDE7D083B,2026-07-07,NEFT-ICIC216367130265-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-07-01,216367130265,,"1,244.61",
TR145CCEF74D,2026-07-07,NEFT-HDFC888786767862-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005917,888786767862,,"26,094.50","38,74,876.76"
TR53F0CE55CC,2026-07-08,NEFT-ICIC532067905604-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005918,532067905604,,"42,393.63","39,17,270.39"
TR3066DB54F9,2026-07-09,NEFT-ICIC312422833599-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005919,312422833599,,"25,243.92","39,42,514.31"
TR45658B6693,2026-07-10,NEFT-KKBK307243715446-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005920,307243715446,,"39,560.17","39,82,074.48"
TRBAA6865890,2026-07-14,NEFT-IDFB365648529429-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005921,365648529429,,"14,650.47","39,96,724.95"
TRF8F21745A5,2026-07-14,NEFT-SBIN608403853417-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005922,608403853417,,"25,842.71","40,22,567.66"
TRF4ACC00F95,2026-07-15,NEFT-KKBK760710320249-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005923,760710320249,,"29,868.45","40,52,436.11"
TRFFFC011C44,2026-07-17,NEFT-YESB910671419704-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005925,910671419704,,"21,099.44","40,73,535.55"
TR01D80B9D21,2026-07-18,NEFT-HDFC193701050596-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005926,193701050596,,"31,332.06","41,04,867.61"
TRA53542F4B4,2026-07-20,NEFT-KKBK603043537618-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005927,603043537618,,"37,431.03","41,42,298.64"
TRFBFC65704A,2026-07-21,NEFT-ICIC631476695338-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005928,631476695338,,"25,996.30","41,68,294.94"
TRD0B6483F12,2026-07-22,NEFT-SBIN244679562262-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-07-16,244679562262,,"1,891.45",
TRF1AF628FE6,2026-07-22,NEFT-HDFC533732979909-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005929,533732979909,,"25,831.07","41,94,126.01"
TR7CB792AFB3,2026-07-24,NEFT-UTIB991554635122-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005930,991554635122,,"64,893.59","42,59,019.60"
TR653988B856,2026-07-24,NEFT-SBIN604629814735-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005931,604629814735,,"19,139.80","42,78,159.40"
TRF9A8EAB756,2026-07-24,NEFT-HDFC696725117275-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005931,696725117275,,"14,254.43","42,92,413.83"
TR8E93D1536F,2026-07-27,NEFT-HDFC645589958097-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005932,645589958097,,"41,795.61","43,34,209.44"
TR52F7A28E9E,2026-07-28,NEFT-IDFB646421107184-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005933,646421107184,,"26,516.35","43,60,725.79"
TR78AAB76229,2026-07-29,NEFT-UTIB366246589590-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005934,366246589590,,"53,720.32","44,14,446.11"
TRFD22959F9C,2026-07-30,NEFT-ICIC554222456835-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005935,554222456835,,"29,941.14","44,44,387.25"
TR00B072046C,2026-07-31,NEFT-KKBK268413366975-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005936,268413366975,,"33,924.55","44,78,311.80"
TR8C50299684,2026-08-01,NEFT-KKBK940715557693-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005937,940715557693,,"64,271.24","45,42,583.04"
TR6054C170F7,2026-08-03,NEFT-YESB126822075245-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005938,126822075245,,"37,965.92","45,80,548.96"
TR5A869EDB3D,2026-08-05,NEFT-UTIB261636424228-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005939,261636424228,,"36,269.57","46,16,818.53"
TRA4424B1575,2026-08-05,NEFT-IDFB675350029509-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005940,675350029509,,"23,643.59","46,40,462.12"
TR7004371C69,2026-08-06,NEFT-IDFB831991382973-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-07-31,831991382973,,"1,890.33",
TR8480B89939,2026-08-06,NEFT-ICIC995948234157-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005941,995948234157,,"29,713.03","46,70,175.15"
TR790EA21001,2026-08-07,NEFT-IDFB154888474661-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005942,154888474661,,"16,098.95","46,86,274.10"
TR8FDA6157C6,2026-08-10,NEFT-IDFB927738102107-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005943,927738102107,,"27,370.65","47,13,644.75"
TR3736728609,2026-08-11,NEFT-UTIB481813252625-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005944,481813252625,,"30,421.48","47,44,066.23"
TRF887198C13,2026-08-12,NEFT-ICIC170745223542-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005945,170745223542,,"70,559.92","48,14,626.15"
TR7DC81B9CB6,2026-08-13,NEFT-IDFB934449444175-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005946,934449444175,,"57,208.66","48,71,834.81"
TRDA4931A202,2026-08-14,NEFT-HDFC501729655552-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005947,501729655552,,"24,871.49","48,96,706.30"
TR6308CC3277,2026-08-18,NEFT-IDFB952231282518-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005948,952231282518,,"18,105.33","49,14,811.63"
TR6A217FB035,2026-08-18,NEFT-ICIC958155800623-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005948,958155800623,,"18,541.23","49,33,352.86"
TRB84BB9D0D9,2026-08-18,NEFT-UTIB463006355307-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005949,463006355307,,"31,526.95","49,64,879.81"
TR2FEFBFBDB5,2026-08-19,NEFT-HDFC791276099562-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005950,791276099562,,"39,316.46","50,04,196.27"
TR314E225B64,2026-08-20,NEFT-ICIC668502778614-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005951,668502778614,,"29,161.95","50,33,358.22"
TR9DAF89D308,2026-08-21,NEFT-HDFC877400373651-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005952,877400373651,,"22,887.89","50,56,246.11"
TRE0C79F6335,2026-08-24,NEFT-HDFC674404369904-RAZORPAY SOFTWARE PVT LTD-RESERVE RELEASE 2026-08-17,674404369904,,"2,078.20",
TRD8D0A660DC,2026-08-24,NEFT-UTIB995654991614-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005953,995654991614,,"42,610.17","50,98,856.28"
TR8B9ABA8B1F,2026-08-25,NEFT-IDFB468830543647-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT 005954,468830543647,,"34,033.33","51,32,889.61"
